origin,departure_minutes,departure_label,reachable_count,reachable_share
"Lausanne, Bel-Air",360,06:00,560,0.2536231884057971
"Lausanne, Bel-Air",480,08:00,535,0.24230072463768115
"Lausanne, Bel-Air",720,12:00,512,0.2318840579710145
"Lausanne, Bel-Air",1080,18:00,548,0.24818840579710144
"Renens VD, gare",360,06:00,527,0.23867753623188406
"Renens VD, gare",480,08:00,485,0.21965579710144928
"Renens VD, gare",720,12:00,486,0.22010869565217392
"Renens VD, gare",1080,18:00,497,0.22509057971014493
"Yverdon-les-Bains, gare",360,06:00,304,0.13768115942028986
"Yverdon-les-Bains, gare",480,08:00,297,0.13451086956521738
"Yverdon-les-Bains, gare",720,12:00,288,0.13043478260869565
"Yverdon-les-Bains, gare",1080,18:00,309,0.13994565217391305
"Vevey, gare",360,06:00,224,0.10144927536231885
"Vevey, gare",480,08:00,224,0.10144927536231885
"Vevey, gare",720,12:00,216,0.09782608695652174
"Vevey, gare",1080,18:00,231,0.10461956521739131
