origin,departure_minutes,departure_label,reachable_count,reachable_share
Lausanne,360,06:00,1500,0.9014423076923077
Lausanne,480,08:00,1500,0.9014423076923077
Lausanne,720,12:00,1513,0.9092548076923077
Lausanne,1080,18:00,1436,0.8629807692307693
Bern,360,06:00,1525,0.9164663461538461
Bern,480,08:00,1522,0.9146634615384616
Bern,720,12:00,1529,0.9188701923076923
Bern,1080,18:00,1477,0.8876201923076923
Genève,360,06:00,1482,0.890625
Genève,480,08:00,1482,0.890625
Genève,720,12:00,1494,0.8978365384615384
Genève,1080,18:00,1383,0.8311298076923077
Zürich HB,360,06:00,1533,0.9212740384615384
Zürich HB,480,08:00,1527,0.9176682692307693
Zürich HB,720,12:00,1534,0.921875
Zürich HB,1080,18:00,1484,0.8918269230769231
